Name,Type,Compatibility,OAI-PMH,website
"Leicester Research Archive",Institutional Repository,not available,,https://lra.le.ac.uk/
"ESRC Research Catalogue",Institutional Repository,not available,,http://researchcatalogue.esrc.ac.uk/
"EPrints at the Centre for Scientific Computing, University of Warwick",Institutional Repository,not available,,http://eprints.csc.warwick.ac.uk/
"Heythrop College Publications",Institutional Repository,collected from a compatible aggregator,,http://publications.heythrop.ac.uk/
"Brunel University Research Archive",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://bura.brunel.ac.uk/oai/request,http://bura.brunel.ac.uk/
"Aberystwyth Research Portal",Institutional Repository,not available,,https://research.aber.ac.uk/portal
"Central Archive at the University of Reading",Institutional Repository,collected from a compatible aggregator,,http://centaur.reading.ac.uk/
"University of Essex Research Repository",Institutional Repository,not available,,http://repository.essex.ac.uk/
"Online Research @ Cardiff",Institutional Repository,collected from a compatible aggregator,,http://orca.cardiff.ac.uk/
"Sheffield Hallam University Research Archive",Institutional Repository,collected from a compatible aggregator,,http://shura.shu.ac.uk/
"UPLACE",Institutional Repository,not available,,http://www.uplace.org.uk:8080/dspace/
"The University of Manchester - Institutional Repository",Institutional Repository,OpenAIRE 2.0+ (DRIVER OA EC funding),https://pure.manchester.ac.uk/ws/oai,https://www.research.manchester.ac.uk/portal
"Glasgow Theses Service",Institutional Repository,not available,,http://theses.gla.ac.uk/
"British Museum Research Repository",Institutional Repository,not available,,https://britishmuseum.iro.bl.uk
"Cronfa at Swansea University",Institutional Repository,OpenAIRE Basic (DRIVER OA),https://cronfa.swan.ac.uk/OAI/Server,https://cronfa.swan.ac.uk/
"Solent University Research Portal",Institutional Repository,OpenAIRE Basic (DRIVER OA),https://pure.solent.ac.uk/ws/oai,https://pure.solent.ac.uk
"Goldsmiths Research Online",Institutional Repository,collected from a compatible aggregator,,http://research.gold.ac.uk/
"NEWI Research Online",Institutional Repository,not available,,http://epubs.newi.ac.uk/
"Imperial War Museum Collections and Research",Institutional Repository,not available,,http://www.iwm.org.uk/collections-research
"University of Birmingham Research Archive, E-prints Repository",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://eprints.bham.ac.uk/cgi/oai2,http://eprints.bham.ac.uk/
"Birmingham City University Open Access Repository",Institutional Repository,not available,,http://www.open-access.bcu.ac.uk
"Research portal for SRUC, Scotlands Rural College",Institutional Repository,not available,,https://pure.sruc.ac.uk/
"National Digital Archive of Datasets",Institutional Repository,not available,,https://webarchive.nationalarchives.gov.uk/20101104101827/http://www.ndad.nationalarchives.gov.uk
"Electronics & Computer Science EPrints Service - University of Southampton",Institutional Repository,not available,,http://eprints.ecs.soton.ac.uk/
"European Transport Conference Papers",Institutional Repository,not available,,https://aetransport.org/past-etc-papers
"Letter from America by Alistair Cooke",Institutional Repository,not available,,http://www.bbc.co.uk/programmes/b00f6hbp/podcasts/
"TAMUG DSpace Repository",Institutional Repository,not available,,https://tamug-ir.tdl.org
"Royal Holloway Data Archive",Institutional Repository,not available,,https://royalholloway.figshare.com/
"EliScholar",Institutional Repository,not available,,https://elischolar.library.yale.edu/
"Durham Research Online",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://dro.dur.ac.uk/cgi/oai2,http://dro.dur.ac.uk/
"Research Scotland",Institutional Repository,not available,,https://research-scotland.ac.uk/
"Greenwich Academic Literature Archive",Institutional Repository,collected from a compatible aggregator,,http://gala.gre.ac.uk/
"Research SPAce",Institutional Repository,collected from a compatible aggregator,,http://researchspace.bathspa.ac.uk/
"RD&E Research Repository",Institutional Repository,not available,,https://rde.dspace-express.com/
"Rothamsted Repository",Institutional Repository,OpenAIRE PubRepos v4.0,https://repository.rothamsted.ac.uk/oai2,https://repository.rothamsted.ac.uk/
"Newcastle University ePrints",Institutional Repository,not available,,https://eprints.ncl.ac.uk
"Royal Holloway Research",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://digirep.rhul.ac.uk/p/oai,https://pure.royalholloway.ac.uk/portal/
"CUED Publications database",Institutional Repository,not available,,http://publications.eng.cam.ac.uk
"Bucks New University: Bucks Knowledge Archive",Institutional Repository,not available,,https://bucks.collections.crest.ac.uk
"Jorum Open",Institutional Repository,not available,,http://open.jorum.ac.uk/xmlui
"Technical Registry",Institutional Repository,not available,,http://www.nationalarchives.gov.uk/PRONOM/Default.aspx
"Online Repository of Birkbeck Institutional Theses",Institutional Repository,not available,,http://bbktheses.da.ulcc.ac.uk/
"Research Art Design Architecture Repository",Institutional Repository,collected from a compatible aggregator,,http://radar.gsa.ac.uk/
"The Research Output Service",Institutional Repository,not available,,http://www.ros.hw.ac.uk/
"Research at the University of Wales, Newport",Institutional Repository,not available,,http://repository.newport.ac.uk/
"University of Chichester EPrints Repository",Institutional Repository,collected from a compatible aggregator,,http://eprints.chi.ac.uk/
"Bangor University Research Portal",Institutional Repository,not available,,https://research.bangor.ac.uk/portal/en/researchoutputs/search.html
"LBS Research Online",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://lbsresearch.london.edu/cgi/oai2,http://lbsresearch.london.edu/
"Central Lancashire Online Knowledge",Institutional Repository,collected from a compatible aggregator,,http://clok.uclan.ac.uk/
"Teesside University Research",Institutional Repository,not available,,https://research.tees.ac.uk
"University of Bolton Institutional Repository",Institutional Repository,not available,,http://ubir.bolton.ac.uk/
"Royal Agricultural University Repository",Institutional Repository,not available,,https://rau.repository.guildhe.ac.uk
"University of Lincoln Institutional Repository",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://eprints.lincoln.ac.uk/cgi/oai2,http://eprints.lincoln.ac.uk/
"Kent Data Repository",Institutional Repository,not available,,https://data.kent.ac.uk/
"Publications Repository",Institutional Repository,not available,,http://repository.icr.ac.uk/
"Durham e-Theses",Institutional Repository,not available,,http://etheses.dur.ac.uk/
"Aberdeen University Research Archive",Institutional Repository,not available,,http://aura.abdn.ac.uk/
"Northumbria Research Link",Institutional Repository,collected from a compatible aggregator,,http://nrl.northumbria.ac.uk/
"Sussex Research Online",Institutional Repository,collected from a compatible aggregator,,http://sro.sussex.ac.uk/
